,DATE,Maximum Wind Speed,Moving Avg Wind Speed,Wind Linear Model
46193,2005-06-22,9.1,2.1799999999999984,2.5491445824443915
46194,2005-06-23,7.2,2.5399999999999983,2.5492070614263938
46195,2005-06-24,6.4,2.6799999999999984,2.549269540408403
46196,2005-06-25,15.1,2.459999999999998,2.5493320193904125
46197,2005-06-26,7.3,2.479999999999998,2.549394498372415
46198,2005-06-27,8.2,2.5399999999999983,2.5494569773544242
46199,2005-06-28,11.2,2.559999999999998,2.5495194563364336
46200,2005-06-29,21.2,2.879999999999998,2.549581935318436
46201,2005-06-30,11.2,3.1199999999999983,2.5496444143004453
46202,2005-07-01,14.3,3.139999999999998,2.5497068932824547
46203,2005-07-02,9.1,3.219999999999998,2.549769372264457
46204,2005-07-03,7.5,2.959999999999998,2.5498318512464664
46205,2005-07-04,21.9,2.759999999999998,2.549894330228476
46206,2005-07-05,11.6,2.839999999999998,2.549956809210478
46207,2005-07-06,10.4,2.7599999999999985,2.5500192881924875
46208,2005-07-07,10.5,2.5599999999999983,2.550081767174497
46209,2005-07-08,6.0,2.459999999999998,2.550144246156499
46210,2005-07-09,8.2,2.379999999999998,2.5502067251385085
46211,2005-07-10,13.8,2.0799999999999983,2.550269204120518
46212,2005-07-11,13.8,2.0999999999999983,2.5503316831025202
46213,2005-07-12,6.9,2.059999999999998,2.5503941620845296
46214,2005-07-13,8.4,2.0999999999999983,2.550456641066539
46215,2005-07-14,6.3,2.2399999999999984,2.5505191200485413
46216,2005-07-15,10.8,2.4399999999999986,2.5505815990305507
46217,2005-07-16,16.4,2.559999999999998,2.55064407801256
46218,2005-07-17,11.1,3.0999999999999988,2.5507065569945624
46219,2005-07-18,20.7,3.5199999999999982,2.550769035976572
46220,2005-07-19,12.7,3.6999999999999984,2.550831514958581
46221,2005-07-20,13.9,3.859999999999998,2.5508939939405835
46222,2005-07-21,12.5,3.859999999999998,2.550956472922593
46223,2005-07-22,11.8,3.379999999999998,2.5510189519046023
46224,2005-07-23,8.5,2.939999999999998,2.5510814308866046
46225,2005-07-24,7.4,2.4999999999999982,2.551143909868614
46226,2005-07-25,10.3,2.0599999999999983,2.5512063888506233
46227,2005-07-26,6.5,1.9399999999999984,2.5512688678326256
46228,2005-07-27,5.7,1.9799999999999982,2.551331346814635
46229,2005-07-28,7.7,1.9799999999999982,2.5513938257966444
46230,2005-07-29,25.1,1.9199999999999982,2.5514563047786467
46231,2005-07-30,7.9,2.0599999999999983,2.551518783760656
46232,2005-07-31,4.8,2.1399999999999983,2.5515812627426655
46233,2005-08-01,7.6,2.3599999999999985,2.551643741724668
46234,2005-08-02,9.0,2.5999999999999983,2.551706220706677
46235,2005-08-03,8.8,2.6999999999999984,2.5517686996886866
46236,2005-08-04,10.4,2.979999999999998,2.551831178670689
46237,2005-08-05,10.5,3.219999999999998,2.5518936576526983
46238,2005-08-06,9.9,3.1399999999999983,2.5519561366347006
46239,2005-08-07,12.1,2.9999999999999982,2.55201861561671
46240,2005-08-08,11.7,3.0799999999999983,2.5520810945987193
46241,2005-08-09,9.6,2.819999999999998,2.5521435735807216
46242,2005-08-10,11.0,2.5199999999999982,2.552206052562731
46243,2005-08-11,10.6,2.5199999999999987,2.5522685315447404
46244,2005-08-12,11.4,2.659999999999998,2.5523310105267427
46245,2005-08-13,8.8,2.7799999999999985,2.552393489508752
46246,2005-08-14,13.3,2.759999999999998,2.5524559684907615
46247,2005-08-15,10.0,2.839999999999998,2.552518447472764
46248,2005-08-16,6.9,2.859999999999998,2.552580926454773
46249,2005-08-17,8.2,2.479999999999998,2.5526434054367826
46250,2005-08-18,10.0,2.1999999999999984,2.552705884418785
46251,2005-08-19,5.5,2.1799999999999984,2.5527683634007943
46252,2005-08-20,9.3,2.1999999999999984,2.5528308423828037
46253,2005-08-21,8.3,2.3199999999999985,2.552893321364806
46254,2005-08-22,7.1,2.4199999999999986,2.5529558003468154
46255,2005-08-23,12.1,2.5999999999999983,2.5530182793288247
